SiteCode,SiteID,OrderStatus,AcctNmbr,Customer,InvoiceFrequencyID,Description,Salesperson_Name,Salesperson_ID,ConsolidationFlag,OrderDate,Amount,Orders
"Deliver-It","1","A","102703","ABC PHARMACY - UPLAND","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","9.77","1"
"Deliver-It","1","A","102499","ADP - AUTO PAY - ROUTES PLEASANTON","18","ADP Majors - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","23.08","4"
"Deliver-It","1","A","102965","NETPAY PAYROLL INC","4","Semi","Phil Nabal","19","Exclude Consolidations","2024-02-01","21.96","2"
"Deliver-It","1","A","102689","ALBERTSONS - DIST CTR - IRVINE PRODUCE DC","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","70.29","1"
"Deliver-It","1","A","103120","CUESTA COLLEGE","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","388.42","1"
"Deliver-It","1","A","103665","Emanate Health Med/Sterile Processing","4","Semi","Jenna Crevda","23","Exclude Consolidations","2024-02-01","96.58","2"
"Deliver-It","1","A","102993","ACE PHARMACY - UPLAND","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","9.77","1"
"Deliver-It","1","A","102820","ABC PHARMACY - LAGUNA HILLS","32","Auto ACH - Weekly-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","103.15","11"
"Deliver-It","1","A","102717","SCHRADERS MEDICAL SUPPLY","6","Weekly - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","536.49","54"
"Deliver-It","1","A","102630","EMPIRE OPTICAL - ON CALL PICKUPS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.24","12"
"Deliver-It","1","A","103162","JB DEWAR","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","883.76","1"
"Deliver-It","1","A","102706","ABC PHARMACY - RIVV","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","9.77","1"
"Deliver-It","1","A","103186","MICHAELS OPTICAL INC","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","401.51","1"
"Deliver-It","1","A","PA0580","PAYCHEX- MASTER ACCOUNT","20","Paychex","Phil Nabal","19","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","A","103180","MANDERLY PROPERTIES","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","887.69","2"
"Deliver-It","1","A","103231","SAN LUIS EYE ASSOCIATES","6","Weekly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","388.42","1"
"Deliver-It","1","A","102751","ESSILOR LABS OF AMERICA","33","Essilor","Phil Nabal","19","Exclude Consolidations","2024-02-01","117.72","4"
"Deliver-It","1","A","102693","ABC PHARMACY - RIALTO","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","19.54","2"
"Deliver-It","1","A","103362","CVS- Redlands-TForce","9","Weekly - Email PDF ARC","Phil Nabal","19","Exclude Consolidations","2024-02-01","4579.75","931"
"Deliver-It","1","A","102821","FOUNDATION ESCROW","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","12.01","1"
"Deliver-It","1","A","103290","FIDELITY NATIONAL TITLE - SLO - CONTRACTUAL","5","Weekly","Courier Systems","10","Exclude Consolidations","2024-02-01","2316.55","6"
"Deliver-It","1","N","10000","DELIVER-IT","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","224.73","17"
"Deliver-It","1","A","103286","CONCIERGE FC","23","B/U CC - Semi - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","6.15","1"
"Deliver-It","1","A","103357","CLEAR CHOICE PHARMACY","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","7.24","1"
"Deliver-It","1","A","102760","ELITE OPTICAL - OUTBOUND","33","Essilor","Cindy Jones","2","Exclude Consolidations","2024-02-01","5.66","1"
"Deliver-It","1","A","103045","RANCHO PARK PHARMACY","1","Semi - Email Excel and PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","5.78","1"
"Deliver-It","1","A","103421","INSPERITY - OUTBOUND","6","Weekly - Email PDF","Cindy Jones","2","Exclude Consolidations","2024-02-01","48.5","5"
"Deliver-It","1","A","102855","MONARCH PHARMACY","32","Auto ACH - Weekly-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","29.31","3"
"Deliver-It","1","A","103327","ABC PHARMACY - MONTCLAIR","30","Auto ACH - Semi","Phil Nabal","19","Exclude Consolidations","2024-02-01","29.31","3"
"Deliver-It","1","N","102215","ADP - NATIONAL - CALENDAR M91 LA PALMA","19","ADP Nationals - Email PDF","House","1","Exclude Consolidations","2024-02-01","246.33","1"
"Deliver-It","1","A","103287","CHOICE COMPOUNDING PHARMACY - TORRANCE","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","72.4","10"
"Deliver-It","1","A","103411","TJH PAYROLL","10","CC","Amber Angelovic","25","Exclude Consolidations","2024-02-01","15.92","2"
"Deliver-It","1","A","103023","EASYCARE","2","Semi - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","12.3","2"
"Deliver-It","1","A","103119","CRYSTAL ENGINEERING CORP","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","350.37","1"
"Deliver-It","1","A","103485","EXPRESS PHARMACY","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","9.92","1"
"Deliver-It","1","A","102974","FIRSTCARE PHARMACY","23","B/U CC - Semi - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","24.6","4"
"Deliver-It","1","A","103370","NESPRESSO - Socal","16","Jagged Peak","Phil Nabal","19","Exclude Consolidations","2024-02-01","583.58","100"
"Deliver-It","1","N","102292","DELIVER-IT - SUPPLY REQUESTS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.02","1"
"Deliver-It","1","A","103307","SAPPHIRE ESCROW INC","2","Semi - Email PDF","Cindy Jones","2","Exclude Consolidations","2024-02-01","13.01","1"
"Deliver-It","1","A","103462","SUPERCARE HEALTH PHARMACY","1","Semi - Email Excel and PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","8.76","1"
"Deliver-It","1","A","103143","GEO SOLUTIONS","15","Monthly - Contractual","Courier Systems","10","Exclude Consolidations","2024-02-01","375.95","1"
"Deliver-It","1","A","103284","PRIMECARE DELIVERY ROOM","2","Semi - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","6.15","1"
"Deliver-It","1","A","103563","GEODIS","37","Geodis/Apple","Phil Nabal","19","Exclude Consolidations","2024-02-01","238.56","50"
"Deliver-It","1","A","103135","FOOD 4 LESS","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","683.68","2"
"Deliver-It","1","A","103535","ACC-SD Shipments","2","Semi - Email PDF","Internal","9","Exclude Consolidations","2024-02-01","133.69","18"
"Deliver-It","1","N","102392W2","ADP - RUN PRODUCT - W2","17","ADP Run - Email PDF","House","1","Exclude Consolidations","2024-02-01","679.47","141"
"Deliver-It","1","A","103354","BUSINESS PAYROLL SERVICES INC - OVERNIGHT","29","Auto ACH - Semi-Email","Cindy Jones","2","Exclude Consolidations","2024-02-01","6.19","1"
"Deliver-It","1","A","103543","STEVE ROGERS","14","Monthly - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","16.64","2"
"Deliver-It","1","A","103254","THE TAX OFFICE","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","94","1"
"Deliver-It","1","A","103378","COMBINED CA","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","101.56","3"
"Deliver-It","1","A","103604","INTEGRA BEAUTY INC","34","BBB","Mikel Mobley","27","Exclude Consolidations","2024-02-01","5.7","1"
"Deliver-It","1","A","103144","GOETZ & ASSOCIATES INC","14","Monthly - Email PDF","Courier Systems","10","Exclude Consolidations","2024-02-01","283.8","1"
"Deliver-It","1","A","103548","PASEO OAKS PHARMACY","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","9.77","1"
"Deliver-It","1","N","102499","ADP - AUTO PAY - ROUTES PLEASANTON","18","ADP Majors - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","2893.13","485"
"Deliver-It","1","A","103400","TELEPAYROLL - W2","6","Weekly - Email PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","5.87","1"
"Deliver-It","1","A","103550","ALLURE PHARMACY","2","Semi - Email PDF","Jenna Crevda","23","Exclude Consolidations","2024-02-01","13.16","2"
"Deliver-It","1","A","103519","USC VERDUGO HILLS PROFESSIONAL PHARMACY","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","10.43","1"
"Deliver-It","1","A","103384","REGENCY MEDICAL PHARMACY","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","146.03","17"
"Deliver-It","1","A","103610","SHYPGYSTYCS","36","Semi-Vape","Phil Nabal","19","Exclude Consolidations","2024-02-01","65.2","1"
"Deliver-It","1","A","103370","NESPRESSO - Socal","16","Jagged Peak","Phil Nabal","19","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","A","103556","IHERB LLC","8","Weekly - Email Excel and PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","13.8","3"
"Deliver-It","1","N","102501","ADP - RUN PRODUCT - ROUTES","17","ADP Run - Email PDF","Phil Nabal","19","Consolidations","2024-02-01","0.54","54"
"Deliver-It","1","A","103418","USC MEDICAL PLAZA PHARMACY","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","52.15","5"
"Deliver-It","1","A","103694","Nespresso - SoCal Sameday","16","Jagged Peak","Phil Nabal","19","Exclude Consolidations","2024-02-01","150.75","9"
"Deliver-It","1","A","103606","F21 OPCO LLC","34","BBB","Mikel Mobley","27","Exclude Consolidations","2024-02-01","108.99","21"
"Deliver-It","1","A","103432","PAYROLL CENTRIC","11","CC - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","26.4","3"
"Deliver-It","1","A","103629","ShipX INC","6","Weekly - Email PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","10.46","2"
"Deliver-It","1","A","103399","HARBOR COMPOUNDING PHARMACY","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","24.54","3"
"Deliver-It","1","A","103651","TILLYS","8","Weekly - Email Excel and PDF","Mikel Mobley","27","Exclude Consolidations","2024-02-01","161.42","33"
"Deliver-It","1","N","102585","STERIGENICS - LOS ANGELES","28","Weekly - Sameday/Messenger","Richard Olivas","20","Exclude Consolidations","2024-02-01","130.85","2"
"Deliver-It","1","A","103445","TOP PHARMACY","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","9.77","1"
"Deliver-It","1","N","10000","DELIVER-IT","13","Internal","Internal","9","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","A","103681","Mixlab RX","6","Weekly - Email PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","156.88","24"
"Deliver-It","1","A","103560","AMERICAN INTEGRATIVE PHARMACY","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","20.04","2"
"Deliver-It","1","A","103635","RightRX","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","11.7","1"
"Deliver-It","1","A","103460","CUCAMONGA COMMUNITY PHARMACY","29","Auto ACH - Semi-Email","Amber Angelovic","25","Exclude Consolidations","2024-02-01","19.54","2"
"Deliver-It","1","A","103726","ZARA USA","34","BBB","Phil Nabal","19","Exclude Consolidations","2024-02-01","7.78","2"
"Deliver-It","1","N","102630","EMPIRE OPTICAL - ON CALL PICKUPS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.22","11"
"Deliver-It","1","A","103447","PAYLOCITY","6","Weekly - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","168.42","21"
"Deliver-It","1","N","100489","BALBOA PHARMACY","4","Semi","Cindy Jones","2","Exclude Consolidations","2024-02-01","15","1"
"Deliver-It","1","A","103689","Nespresso - PNW","16","Jagged Peak","Phil Nabal","19","Exclude Consolidations","2024-02-01","454.59","60"
"Deliver-It","1","A","103630","SEPHORA","40","Sephora","Phil Nabal","19","Exclude Consolidations","2024-02-01","1593.6","343"
"Deliver-It","1","A","103667","Emanate Health Med Ctr/QoV/Lab","4","Semi","Jenna Crevda","23","Exclude Consolidations","2024-02-01","98.77","2"
"Deliver-It","1","A","PA0580","PAYCHEX- MASTER ACCOUNT","20","Paychex","Phil Nabal","19","Exclude Consolidations","2024-02-01","1262.8","165"
"Deliver-It","1","N","100296","CAREMAX","4","Semi","House","1","Exclude Consolidations","2024-02-01","116.05","10"
"Deliver-It","1","N","102677","MERIDIAN OPTICAL LAB - ON CALL PICKUPS","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.59","29"
"Deliver-It","1","A","103501","MEDICINE MAN PHARMACY","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","8.59","1"
"Deliver-It","1","N","10053","DI - ROUTE SPLIT PAY","13","Internal","Internal","9","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","A","103714","JET LOGISTICS dba ZIPPY EXPRESS INCJET LOGISTICS","43","Jet Logistics/Zippy","Phil Nabal","19","Exclude Consolidations","2024-02-01","4.22","1"
"Deliver-It","1","N","100745","HEALTH GUARD RX INC","23","B/U CC - Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","69.19","6"
"Deliver-It","1","A","6466","ADP - AUTO PAY - ROUTES LA PALMA","18","ADP Majors - Email PDF","House","1","Exclude Consolidations","2024-02-01","307.54","64"
"Deliver-It","1","N","10051","DI - STEM FEES - DISTRIBUTION","13","Internal","Internal","9","Consolidations","2024-02-01","0.11","11"
"Deliver-It","1","N","100463","DELIVER-IT - PU ROUTES","13","Internal","Internal","9","Consolidations","2024-02-01","0.92","92"
"Deliver-It","1","N","102693","ABC PHARMACY - RIALTO","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","422.24","44"
"Deliver-It","1","A","103545","ENCORE PHARMACY","2","Semi - Email PDF","Jenna Crevda","23","Exclude Consolidations","2024-02-01","72.38","11"
"Deliver-It","1","N","100935","DELIVER-IT - NON REVENUE -MESSENGER","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","2.7","131"
"Deliver-It","1","N","100100","Deliver-It--Driver Management","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.02","1"
"Deliver-It","1","N","102392","ADP - RUN PRODUCT - ROUTES","17","ADP Run - Email PDF","House","1","Consolidations","2024-02-01","1.68","168"
"Deliver-It","1","N","102060","PAY-NET INC","29","Auto ACH - Semi-Email","Cindy Jones","2","Exclude Consolidations","2024-02-01","144.2","20"
"Deliver-It","1","N","100935","DELIVER-IT - NON REVENUE -MESSENGER","13","Internal","Internal","9","Consolidations","2024-02-01","0.14","14"
"Deliver-It","1","N","100491","SOUTH BAY HOME HEALTH CARE","29","Auto ACH - Semi-Email","House","1","Exclude Consolidations","2024-02-01","51.2","4"
"Deliver-It","1","N","102702","ABC PHARMACY - RIVERSIDE","29","Auto ACH - Semi-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","436.66","50"
"Deliver-It","1","A","103580","BBSI - SAN DIEGO","2","Semi - Email PDF","Jenna Crevda","23","Exclude Consolidations","2024-02-01","100.89","8"
"Deliver-It","1","N","100966","COALITION COURT REPORTERS","10","CC","House","1","Exclude Consolidations","2024-02-01","66.8","6"
"Deliver-It","1","N","102252","ADP - AUTO PAY - HOTS - SAMEDAY LA PALMA","28","Weekly - Sameday/Messenger","Richard Olivas","20","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","N","102392W2","ADP - RUN PRODUCT - W2","17","ADP Run - Email PDF","House","1","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","N","102067","SOURCEONE PAYROLL SERVICES","2","Semi - Email PDF","House","1","Exclude Consolidations","2024-02-01","160.08","13"
"Deliver-It","1","N","101999","DELIVER-IT ","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.28","14"
"Deliver-It","1","N","102065","EMPLOYERS RESOURCE","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","263.65","25"
"Deliver-It","1","N","102809","VIP Pharmacy Inc","32","Auto ACH - Weekly-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","78.16","8"
"Deliver-It","1","A","103607","L'OREAL USA INC","34","BBB","Phil Nabal","19","Exclude Consolidations","2024-02-01","39.81","6"
"Deliver-It","1","N","102003","FIVE STAR ESCROW","30","Auto ACH - Semi","Cindy Jones","2","Exclude Consolidations","2024-02-01","42.26","3"
"Deliver-It","1","N","102289","ADP - AUTO PAY - CALENDAR 599 LA PALMA","18","ADP Majors - Email PDF","House","1","Exclude Consolidations","2024-02-01","175.28","2"
"Deliver-It","1","N","102464","TELEPAYROLL INC","6","Weekly - Email PDF","Mike Martin","6","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","N","102214","ADP - NATIONAL - ROUTES LA PALMA","19","ADP Nationals - Email PDF","House","1","Exclude Consolidations","2024-02-01","269.56","46"
"Deliver-It","1","N","102253","ADP - AUTOPAY - CALENDAR 123 LA PALMA","18","ADP Majors - Email PDF","Phil Nabal","19","Consolidations","2024-02-01","0.07","7"
"Deliver-It","1","N","102187","CORINTHIAN TITLE COMPANY - SAN DIEGO","4","Semi","Cindy Jones","2","Exclude Consolidations","2024-02-01","29.32","1"
"Deliver-It","1","N","102855","MONARCH PHARMACY","32","Auto ACH - Weekly-Email","Phil Nabal","19","Exclude Consolidations","2024-02-01","156.32","16"
"Deliver-It","1","A","6563","PAYROLL PLUS","2","Semi - Email PDF","Amber Angelovic","25","Exclude Consolidations","2024-02-01","34.7","3"
"Deliver-It","1","N","102183","PRIDE PHARMACY - SAN DIEGO","11","CC - Email PDF","Ernie Eiserman","3","Exclude Consolidations","2024-02-01","78.97","9"
"Deliver-It","1","N","102332","CORINTHIAN TITLE COMPANY - DIAMOND BAR","4","Semi","Cindy Jones","2","Exclude Consolidations","2024-02-01","30","2"
"Deliver-It","1","N","102477","SDP PAYROLL","8","Weekly - Email Excel and PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","589.75","68"
"Deliver-It","1","N","102467","LAWYERS TITLE COMPANY - SAN DIEGO","4","Semi","Cindy Jones","2","Exclude Consolidations","2024-02-01","39.02","3"
"Deliver-It","1","N","102357","PRIME SPORTS SALES AND DESIGN INC","4","Semi","Ernie Eiserman","3","Consolidations","2024-02-01","0.01","1"
"Deliver-It","1","N","102244","PERRIS HILLS PHARMACY","10","CC","Ernie Eiserman","3","Exclude Consolidations","2024-02-01","34.6","4"
"Deliver-It","1","N","103045","RANCHO PARK PHARMACY","1","Semi - Email Excel and PDF","Mike Martin","6","Exclude Consolidations","2024-02-01","216.24","35"
"Deliver-It","1","N","100463","DELIVER-IT - PU ROUTES","13","Internal","Internal","9","Exclude Consolidations","2024-02-01","0.02","1"
"Deliver-It","1","N","102188","CALIFORNIA TITLE COMPANY","2","Semi - Email PDF","Cindy Jones","2","Exclude Consolidations","2024-02-01","15","1"
"Deliver-It","1","N","102392","ADP - RUN PRODUCT - ROUTES","17","ADP Run - Email PDF","House","1","Exclude Consolidations","2024-02-01","28311.85","5763"
"Deliver-It","1","N","102607","OSO HOME CARE - IRVINE","2","Semi - Email PDF","Phil Nabal","19","Exclude Consolidations","2024-02-01","266.88","14"
